date,home_team,away_team,home_score,away_score,
11/07/2013,México,Canadá,2,0,
30/06/2013,Brasil,Espanha,3,0,
26/06/2013,Brasil,Uruguai,2,1,
22/06/2013,Japão,México,1,2,
19/06/2013,Brasil,México,2,0,
18/06/2013,Coreia do Sul,Irã,0,1,
16/06/2013,Espanha,Uruguai,2,1,
15/06/2013,Brasil,Japão,3,0,
11/06/2013,Equador,Argentina,1,1,
11/06/2013,México,Costa Rica,0,0,
10/06/2013,Croácia,Portugal,0,1,
09/06/2013,Brasil,França,3,0,
07/06/2013,Bélgica,Sérvia,2,1,
05/06/2013,Uruguai,França,1,0,
04/06/2013,Japão,Austrália,1,1,
04/06/2013,Catar,Irã,0,1,
02/06/2013,Brasil,Inglaterra,2,2,
02/06/2013,Estados Unidos,Alemanha,4,3,
29/05/2013,Equador,Alemanha,2,4,
29/05/2013,Estados Unidos,Bélgica,2,4,
28/05/2013,Canadá,Costa Rica,0,1,
26/03/2013,França,Espanha,0,1,
26/03/2013,Coreia do Sul,Catar,2,1,
26/03/2013,México,Estados Unidos,0,0,
26/03/2013,País de Gales,Croácia,1,2,
22/03/2013,Croácia,Sérvia,2,0,
22/03/2013,Japão,Canadá,2,1,
22/03/2013,Estados Unidos,Costa Rica,1,0,
06/02/2013,Croácia,Coreia do Sul,4,0,
06/02/2013,Inglaterra,Brasil,2,1,
06/02/2013,França,Alemanha,1,2,
06/02/2013,Portugal,Equador,2,3,
06/02/2013,Espanha,Uruguai,3,1,
29/01/2013,Estados Unidos,Canadá,0,0,
13/01/2013,Gana,Tunísia,4,2,
09/12/2012,Irã,Arábia Saudita,0,0,
21/11/2012,Argentina,Brasil,2,1,
14/11/2012,Coreia do Sul,Austrália,1,2,
14/11/2012,Holanda,Alemanha,0,0,
14/11/2012,Polônia,Uruguai,1,3,
14/11/2012,Arábia Saudita,Argentina,0,0,
14/11/2012,Tunísia,Suíça,1,2,
17/10/2012,Polônia,Inglaterra,1,1,
16/10/2012,Croácia,País de Gales,2,0,
16/10/2012,Irã,Coreia do Sul,1,0,
16/10/2012,Japão,Brasil,0,4,
16/10/2012,Espanha,França,1,1,
12/10/2012,Argentina,Uruguai,3,0,
12/10/2012,França,Japão,0,1,
12/10/2012,Sérvia,Bélgica,0,3,
19/09/2012,Brasil,Argentina,2,1,
11/09/2012,Bélgica,Croácia,1,1,
11/09/2012,México,Costa Rica,1,0,
11/09/2012,Sérvia,País de Gales,6,1,
11/09/2012,Uruguai,Equador,1,1,
07/09/2012,Costa Rica,México,0,2,
07/09/2012,Espanha,Arábia Saudita,5,0,
07/09/2012,País de Gales,Bélgica,0,2,
15/08/2012,Bélgica,Holanda,4,2,
15/08/2012,Croácia,Suíça,2,4,
15/08/2012,França,Uruguai,0,0,
15/08/2012,Alemanha,Argentina,1,3,
15/08/2012,Irã,Tunísia,2,2,
15/08/2012,México,Estados Unidos,0,1,
27/06/2012,Portugal,Espanha,0,0,
23/06/2012,Espanha,França,2,0,
18/06/2012,Croácia,Espanha,0,1,
18/06/2012,Arábia Saudita,Marrocos,4,0,
17/06/2012,Dinamarca,Alemanha,1,2,
17/06/2012,Portugal,Holanda,2,1,
13/06/2012,Dinamarca,Portugal,2,3,
13/06/2012,Holanda,Alemanha,1,2,
12/06/2012,Austrália,Japão,1,1,
12/06/2012,Irã,Catar,0,0,
11/06/2012,França,Inglaterra,1,1,
09/06/2012,Brasil,Argentina,3,4,
09/06/2012,Alemanha,Portugal,1,0,
09/06/2012,Holanda,Dinamarca,0,1,
08/06/2012,Catar,Coreia do Sul,1,4,
03/06/2012,Canadá,Estados Unidos,0,0,
03/06/2012,México,Brasil,2,0,
02/06/2012,Argentina,Equador,4,0,
02/06/2012,Dinamarca,Austrália,2,0,
02/06/2012,Inglaterra,Bélgica,1,0,
31/05/2012,França,Sérvia,2,0,
30/05/2012,Espanha,Coreia do Sul,4,1,
30/05/2012,Estados Unidos,Brasil,1,4,
27/05/2012,México,País de Gales,2,0,
26/05/2012,Dinamarca,Brasil,1,3,
26/05/2012,Espanha,Sérvia,2,0,
26/05/2012,Suíça,Alemanha,5,3,
25/05/2012,Marrocos,Senegal,0,1,
29/02/2012,Austrália,Arábia Saudita,4,2,
29/02/2012,Inglaterra,Holanda,2,3,
29/02/2012,Alemanha,França,1,2,
29/02/2012,Irã,Catar,2,2,
29/02/2012,Polônia,Portugal,0,0,
29/02/2012,Suíça,Argentina,1,3,
29/02/2012,País de Gales,Costa Rica,0,1,
05/02/2012,Gana,Tunísia,2,1,
23/01/2012,Marrocos,Tunísia,1,2,
15/11/2011,Costa Rica,Espanha,2,2,
15/11/2011,França,Bélgica,0,0,
15/11/2011,Alemanha,Holanda,3,0,
13/11/2011,Marrocos,Camarões,1,1,
12/11/2011,Inglaterra,Espanha,1,0,
11/11/2011,França,Estados Unidos,1,0,
11/11/2011,México,Sérvia,2,0,
11/11/2011,Holanda,Suíça,0,0,
11/10/2011,Dinamarca,Portugal,2,1,
11/10/2011,Alemanha,Bélgica,3,1,
11/10/2011,México,Brasil,1,2,
11/10/2011,Estados Unidos,Equador,0,1,
07/10/2011,Costa Rica,Brasil,0,1,
07/10/2011,Coreia do Sul,Polônia,2,2,
07/10/2011,País de Gales,Suíça,2,0,
28/09/2011,Brasil,Argentina,2,0,
14/09/2011,Argentina,Brasil,0,0,
06/09/2011,Bélgica,Estados Unidos,1,0,
06/09/2011,Equador,Costa Rica,4,0,
06/09/2011,Inglaterra,País de Gales,1,0,
06/09/2011,Polônia,Alemanha,2,2,
06/09/2011,Catar,Irã,1,1,
06/09/2011,Arábia Saudita,Austrália,1,3,
05/09/2011,Brasil,Gana,1,0,
02/09/2011,Polônia,México,1,1,
02/09/2011,Estados Unidos,Costa Rica,0,1,
10/08/2011,Costa Rica,Equador,0,2,
10/08/2011,Alemanha,Brasil,3,2,
10/08/2011,Japão,Coreia do Sul,3,0,
10/08/2011,Senegal,Marrocos,0,2,
10/08/2011,Estados Unidos,México,1,1,
10/08/2011,País de Gales,Austrália,1,2,
16/07/2011,Argentina,Uruguai,1,1,
13/07/2011,Brasil,Equador,4,2,
12/07/2011,Uruguai,México,1,0,
11/07/2011,Argentina,Costa Rica,3,0,
25/06/2011,Estados Unidos,México,2,4,
12/06/2011,México,Costa Rica,4,1,
09/06/2011,Polônia,França,0,1,
08/06/2011,Uruguai,Holanda,1,1,
07/06/2011,Austrália,Sérvia,0,0,
07/06/2011,Coreia do Sul,Gana,2,1,
07/06/2011,Estados Unidos,Canadá,2,0,
05/06/2011,Polônia,Argentina,2,1,
04/06/2011,Brasil,Holanda,0,0,
04/06/2011,Camarões,Senegal,0,0,
04/06/2011,Inglaterra,Suíça,2,2,
04/06/2011,Estados Unidos,Espanha,0,4,
03/06/2011,Coreia do Sul,Sérvia,2,1,
01/06/2011,Canadá,Equador,2,2,
29/05/2011,Alemanha,Uruguai,2,1,
28/05/2011,México,Equador,1,1,
20/04/2011,Argentina,Equador,2,2,
29/03/2011,Costa Rica,Argentina,0,0,
29/03/2011,Inglaterra,Gana,1,1,
29/03/2011,França,Croácia,0,0,
29/03/2011,Alemanha,Austrália,1,2,
26/03/2011,Senegal,Camarões,1,0,
26/03/2011,Estados Unidos,Argentina,1,1,
26/03/2011,País de Gales,Inglaterra,0,2,
09/02/2011,Argentina,Portugal,2,1,
09/02/2011,Dinamarca,Inglaterra,1,2,
09/02/2011,França,Brasil,1,0,
29/01/2011,Austrália,Japão,0,1,
25/01/2011,Japão,Coreia do Sul,2,2,
22/01/2011,Irã,Coreia do Sul,0,1,
21/01/2011,Catar,Japão,2,3,
17/01/2011,Arábia Saudita,Japão,0,5,
14/01/2011,Austrália,Coreia do Sul,1,1,
28/11/2010,Catar,Arábia Saudita,1,1,
17/11/2010,Argentina,Brasil,1,0,
17/11/2010,Inglaterra,França,1,2,
17/11/2010,Portugal,Espanha,4,0,
17/11/2010,Arábia Saudita,Gana,0,0,
12/10/2010,Equador,Polônia,2,2,
12/10/2010,Coreia do Sul,Japão,0,0,
12/10/2010,Suíça,País de Gales,4,1,
09/10/2010,Estados Unidos,Polônia,2,2,
08/10/2010,Japão,Argentina,1,0,
08/10/2010,Portugal,Dinamarca,3,1,
07/10/2010,Irã,Brasil,0,3,
07/09/2010,Argentina,Espanha,4,1,
07/09/2010,Coreia do Sul,Irã,0,1,
07/09/2010,Polônia,Austrália,1,2,
07/09/2010,Suíça,Inglaterra,1,3,
04/09/2010,México,Equador,1,2,
03/09/2010,Bélgica,Alemanha,0,1,
03/09/2010,Suíça,Austrália,0,0,
11/08/2010,Dinamarca,Alemanha,2,2,
11/08/2010,México,Espanha,1,1,
11/08/2010,Polônia,Camarões,0,3,
10/08/2010,Estados Unidos,Brasil,0,2,
11/07/2010,Holanda,Espanha,0,1,
10/07/2010,Uruguai,Alemanha,2,3,
07/07/2010,Alemanha,Espanha,0,1,
06/07/2010,Uruguai,Holanda,2,3,
03/07/2010,Argentina,Alemanha,0,4,
02/07/2010,Holanda,Brasil,2,1,
02/07/2010,Uruguai,Gana,1,1,
29/06/2010,Espanha,Portugal,1,0,
27/06/2010,Argentina,México,3,1,
27/06/2010,Alemanha,Inglaterra,4,1,
26/06/2010,Uruguai,Coreia do Sul,2,1,
26/06/2010,Estados Unidos,Gana,1,2,
25/06/2010,Portugal,Brasil,0,0,
24/06/2010,Camarões,Holanda,1,2,
24/06/2010,Dinamarca,Japão,1,3,
23/06/2010,Austrália,Sérvia,2,1,
23/06/2010,Gana,Alemanha,0,1,
22/06/2010,México,Uruguai,0,1,
19/06/2010,Camarões,Dinamarca,1,2,
19/06/2010,Gana,Austrália,1,1,
19/06/2010,Holanda,Japão,1,0,
18/06/2010,Alemanha,Sérvia,0,1,
17/06/2010,Argentina,Coreia do Sul,4,1,
17/06/2010,França,México,0,2,
16/06/2010,Espanha,Suíça,0,1,
14/06/2010,Japão,Camarões,1,0,
14/06/2010,Holanda,Dinamarca,2,0,
13/06/2010,Alemanha,Austrália,4,0,
13/06/2010,Sérvia,Gana,0,1,
12/06/2010,Inglaterra,Estados Unidos,1,1,
11/06/2010,Uruguai,França,0,0,
08/06/2010,Espanha,Polônia,6,0,
05/06/2010,Austrália,Estados Unidos,1,3,
05/06/2010,Sérvia,Camarões,4,3,
03/06/2010,Espanha,Coreia do Sul,1,0,
02/06/2010,Sérvia,Polônia,0,0,
01/06/2010,Austrália,Dinamarca,1,0,
01/06/2010,Holanda,Gana,4,1,
01/06/2010,Portugal,Camarões,3,1,
01/06/2010,Suíça,Costa Rica,0,1,
30/05/2010,Japão,Inglaterra,1,2,
30/05/2010,Tunísia,França,1,1,
29/05/2010,Espanha,Arábia Saudita,3,2,
27/05/2010,Dinamarca,Senegal,2,0,
26/05/2010,França,Costa Rica,2,1,
26/05/2010,Holanda,México,2,1,
24/05/2010,Argentina,Canadá,5,0,
24/05/2010,Inglaterra,México,3,1,
24/05/2010,Japão,Coreia do Sul,0,2,
23/05/2010,Croácia,País de Gales,2,0,
16/05/2010,Coreia do Sul,Equador,2,0,
10/05/2010,México,Senegal,1,0,
07/05/2010,México,Equador,0,0,
07/04/2010,Japão,Sérvia,0,3,
03/03/2010,Bélgica,Croácia,0,1,
03/03/2010,França,Espanha,0,2,
03/03/2010,Alemanha,Argentina,0,1,
03/03/2010,Holanda,Estados Unidos,2,1,
03/03/2010,Suíça,Uruguai,1,3,
14/02/2010,Japão,Coreia do Sul,1,3,
26/01/2010,Argentina,Costa Rica,3,2,
21/01/2010,Camarões,Tunísia,2,2,
28/12/2009,Catar,Irã,3,2,
18/11/2009,Dinamarca,Estados Unidos,3,1,
18/11/2009,Coreia do Sul,Sérvia,0,1,
18/11/2009,Polônia,Canadá,1,0,
18/11/2009,Uruguai,Costa Rica,1,1,
17/11/2009,Bélgica,Catar,2,0,
14/11/2009,Brasil,Inglaterra,1,0,
14/11/2009,Costa Rica,Uruguai,0,1,
14/11/2009,Dinamarca,Coreia do Sul,0,0,
14/11/2009,Marrocos,Camarões,0,2,
14/11/2009,Espanha,Argentina,2,1,
14/10/2009,Coreia do Sul,Senegal,2,0,
14/10/2009,Tunísia,Arábia Saudita,0,1,
14/10/2009,Uruguai,Argentina,0,1,
14/10/2009,Estados Unidos,Costa Rica,2,2,
10/10/2009,Austrália,Holanda,0,0,
10/10/2009,Equador,Uruguai,1,2,
08/10/2009,Croácia,Catar,3,2,
30/09/2009,Argentina,Gana,2,0,
09/09/2009,Inglaterra,Croácia,5,1,
09/09/2009,Japão,Gana,4,3,
09/09/2009,Sérvia,França,1,1,
05/09/2009,Argentina,Brasil,1,3,
05/09/2009,Costa Rica,México,0,3,
05/09/2009,Dinamarca,Portugal,1,1,
05/09/2009,Coreia do Sul,Austrália,3,1,
05/09/2009,Holanda,Japão,3,0,
05/09/2009,Espanha,Bélgica,5,0,
12/08/2009,México,Estados Unidos,2,1,
12/08/2009,Holanda,Inglaterra,2,2,
26/07/2009,Estados Unidos,México,0,5,
23/07/2009,Costa Rica,México,1,1,
10/07/2009,Costa Rica,Canadá,2,2,
28/06/2009,Estados Unidos,Brasil,2,3,
24/06/2009,Espanha,Estados Unidos,0,2,
18/06/2009,Estados Unidos,Brasil,0,3,
17/06/2009,Austrália,Japão,2,1,
17/06/2009,Coreia do Sul,Irã,1,1,
10/06/2009,Equador,Argentina,2,0,
10/06/2009,Japão,Catar,1,1,
10/06/2009,Coreia do Sul,Arábia Saudita,0,0,
06/06/2009,Catar,Austrália,0,0,
06/06/2009,Uruguai,Brasil,0,4,
03/06/2009,Costa Rica,Estados Unidos,3,1,
31/05/2009,Japão,Bélgica,4,0,
26/05/2009,Catar,Arábia Saudita,2,1,
01/04/2009,Irã,Senegal,1,1,
01/04/2009,País de Gales,Alemanha,0,2,
29/03/2009,Equador,Brasil,1,1,
28/03/2009,Irã,Arábia Saudita,1,2,
28/03/2009,México,Costa Rica,2,0,
11/02/2009,França,Argentina,0,2,
11/02/2009,Irã,Coreia do Sul,1,1,
11/02/2009,Japão,Austrália,0,0,
11/02/2009,Espanha,Inglaterra,2,0,
11/02/2009,Tunísia,Holanda,1,1,
11/02/2009,Estados Unidos,México,2,0,
11/02/2009,País de Gales,Polônia,0,1,
05/01/2009,Arábia Saudita,Catar,0,0,
17/12/2008,Irã,Equador,0,1,
14/12/2008,Sérvia,Polônia,0,1,
19/11/2008,Brasil,Portugal,6,2,
19/11/2008,Dinamarca,País de Gales,0,1,
19/11/2008,França,Uruguai,0,0,
19/11/2008,Alemanha,Inglaterra,1,2,
19/11/2008,Gana,Tunísia,0,0,
19/11/2008,Catar,Japão,0,3,
19/11/2008,Arábia Saudita,Coreia do Sul,0,2,
12/11/2008,México,Equador,2,1,
09/11/2008,Catar,Irã,0,1,
15/10/2008,Austrália,Catar,4,0,
15/10/2008,Bélgica,Espanha,1,2,
15/10/2008,Canadá,México,2,2,
15/10/2008,Alemanha,País de Gales,1,0,
14/10/2008,França,Tunísia,3,1,
11/10/2008,Argentina,Uruguai,2,1,
10/09/2008,Croácia,Inglaterra,1,4,
10/09/2008,França,Sérvia,2,1,
10/09/2008,México,Canadá,2,1,
10/09/2008,Portugal,Dinamarca,2,3,
10/09/2008,Uruguai,Equador,0,0,
06/09/2008,Holanda,Austrália,1,2,
06/09/2008,Arábia Saudita,Irã,1,1,
30/08/2008,Arábia Saudita,Catar,2,1,
20/08/2008,Dinamarca,Espanha,0,3,
20/08/2008,Alemanha,Bélgica,2,0,
20/08/2008,Japão,Uruguai,1,3,
11/08/2008,Irã,Catar,6,1,
29/06/2008,Alemanha,Espanha,0,1,
19/06/2008,Portugal,Alemanha,2,3,
18/06/2008,Brasil,Argentina,0,0,
16/06/2008,Polônia,Croácia,0,1,
15/06/2008,Argentina,Equador,1,1,
15/06/2008,Suíça,Portugal,2,0,
14/06/2008,Catar,Austrália,1,3,
13/06/2008,Holanda,França,4,1,
12/06/2008,Croácia,Alemanha,2,1,
08/06/2008,Alemanha,Polônia,2,0,
08/06/2008,Estados Unidos,Argentina,0,0,
04/06/2008,México,Argentina,1,4,
04/06/2008,Espanha,Estados Unidos,1,0,
01/06/2008,Holanda,País de Gales,2,0,
01/06/2008,Polônia,Dinamarca,1,1,
31/05/2008,Brasil,Canadá,3,2,
31/05/2008,Alemanha,Sérvia,2,1,
29/05/2008,Holanda,Dinamarca,1,1,
28/05/2008,Inglaterra,Estados Unidos,2,0,
27/05/2008,França,Equador,2,0,
23/05/2008,Austrália,Gana,1,0,
26/03/2008,Bélgica,Marrocos,1,4,
26/03/2008,França,Inglaterra,1,0,
26/03/2008,Gana,México,1,2,
26/03/2008,Polônia,Estados Unidos,0,3,
26/03/2008,Suíça,Alemanha,0,4,
23/02/2008,Japão,Coreia do Sul,1,1,
07/02/2008,Gana,Camarões,0,1,
06/02/2008,Austrália,Catar,3,0,
06/02/2008,Croácia,Holanda,0,3,
06/02/2008,Inglaterra,Suíça,2,1,
06/02/2008,Espanha,França,1,0,
06/02/2008,Estados Unidos,México,2,2,
04/02/2008,Tunísia,Camarões,2,3,
30/01/2008,Irã,Costa Rica,0,0,
28/01/2008,Gana,Marrocos,2,0,
23/01/2008,Tunísia,Senegal,2,2,
10/01/2008,Catar,Irã,0,0,
21/11/2007,Brasil,Uruguai,2,1,
21/11/2007,Inglaterra,Croácia,2,3,
21/11/2007,Alemanha,País de Gales,0,0,
21/11/2007,Marrocos,Senegal,3,0,
21/11/2007,Sérvia,Polônia,2,2,
17/11/2007,Polônia,Bélgica,2,0,
16/11/2007,França,Marrocos,2,2,
17/10/2007,Brasil,Equador,5,0,
17/10/2007,Suíça,Estados Unidos,0,1,
13/10/2007,Dinamarca,Espanha,1,3,
12/09/2007,Canadá,Costa Rica,1,1,
12/09/2007,México,Brasil,1,3,
12/09/2007,Portugal,Sérvia,1,1,
11/09/2007,Austrália,Argentina,0,1,
11/09/2007,Arábia Saudita,Gana,5,0,
11/09/2007,Suíça,Japão,3,4,
09/09/2007,Estados Unidos,Brasil,2,4,
08/09/2007,Marrocos,Gana,0,2,
08/09/2007,Portugal,Polônia,2,2,
08/09/2007,País de Gales,Alemanha,0,2,
22/08/2007,Bélgica,Sérvia,3,2,
22/08/2007,Inglaterra,Alemanha,1,2,
22/08/2007,Japão,Camarões,2,0,
22/08/2007,Suíça,Holanda,2,1,
21/08/2007,Gana,Senegal,1,1,
28/07/2007,Coreia do Sul,Japão,0,0,
25/07/2007,Japão,Arábia Saudita,2,3,
22/07/2007,Irã,Coreia do Sul,0,0,
21/07/2007,Japão,Austrália,1,1,
15/07/2007,Brasil,Argentina,3,0,
14/07/2007,México,Uruguai,3,1,
11/07/2007,Coreia do Sul,Arábia Saudita,1,1,
11/07/2007,México,Argentina,0,3,
10/07/2007,Uruguai,Brasil,2,2,
09/07/2007,Japão,Catar,1,1,
04/07/2007,Brasil,Equador,1,0,
01/07/2007,México,Equador,2,1,
28/06/2007,Argentina,Estados Unidos,4,1,
27/06/2007,Brasil,México,0,2,
24/06/2007,Estados Unidos,México,2,1,
21/06/2007,Estados Unidos,Canadá,2,1,
17/06/2007,México,Costa Rica,1,0,
06/06/2007,Costa Rica,Canadá,1,2,
02/06/2007,Austrália,Uruguai,1,2,
02/06/2007,Bélgica,Portugal,1,2,
02/06/2007,Coreia do Sul,Holanda,0,2,
02/06/2007,México,Irã,4,0,
02/06/2007,Suíça,Argentina,1,1,
01/06/2007,Inglaterra,Brasil,1,1,
28/03/2007,Alemanha,Dinamarca,0,1,
28/03/2007,México,Equador,4,2,
28/03/2007,Sérvia,Portugal,1,1,
27/03/2007,Brasil,Gana,1,0,
25/03/2007,Estados Unidos,Equador,3,1,
24/03/2007,Coreia do Sul,Uruguai,0,2,
24/03/2007,Portugal,Bélgica,4,0,
24/03/2007,Catar,Irã,0,1,
24/03/2007,Espanha,Dinamarca,2,1,
07/02/2007,Inglaterra,Espanha,0,1,
07/02/2007,França,Argentina,0,1,
07/02/2007,Alemanha,Suíça,3,1,
07/02/2007,Marrocos,Tunísia,1,1,
07/02/2007,Estados Unidos,México,2,0,
06/02/2007,Austrália,Dinamarca,1,3,
06/02/2007,Portugal,Brasil,2,0,
21/01/2007,Arábia Saudita,Catar,1,1,
15/11/2006,Bélgica,Polônia,0,1,
15/11/2006,Irã,Coreia do Sul,2,0,
15/11/2006,Japão,Arábia Saudita,3,1,
15/11/2006,Holanda,Inglaterra,1,1,
15/11/2006,Suíça,Brasil,1,2,
14/11/2006,Austrália,Gana,1,1,
11/10/2006,Croácia,Inglaterra,2,0,
11/10/2006,Polônia,Portugal,2,1,
11/10/2006,Espanha,Argentina,2,1,
10/10/2006,Brasil,Equador,2,1,
08/10/2006,Coreia do Sul,Gana,1,3,
07/10/2006,Sérvia,Bélgica,1,0,
04/10/2006,Japão,Gana,0,1,
06/09/2006,Polônia,Sérvia,1,1,
06/09/2006,Suíça,Costa Rica,2,0,
05/09/2006,País de Gales,Brasil,0,2,
03/09/2006,Argentina,Brasil,0,3,
03/09/2006,Arábia Saudita,Japão,1,0,
02/09/2006,Coreia do Sul,Irã,1,1,
01/09/2006,Dinamarca,Portugal,4,2,
16/08/2006,Dinamarca,Polônia,2,0,
08/07/2006,Alemanha,Portugal,3,1,
05/07/2006,Portugal,França,0,1,
01/07/2006,Brasil,França,0,1,
01/07/2006,Inglaterra,Portugal,0,0,
30/06/2006,Alemanha,Argentina,1,1,
27/06/2006,Brasil,Gana,3,0,
27/06/2006,Espanha,França,1,3,
25/06/2006,Inglaterra,Equador,1,0,
25/06/2006,Portugal,Holanda,1,0,
24/06/2006,Argentina,México,2,1,
23/06/2006,Arábia Saudita,Espanha,0,1,
23/06/2006,Suíça,Coreia do Sul,2,0,
22/06/2006,Croácia,Austrália,2,2,
22/06/2006,Gana,Estados Unidos,2,1,
22/06/2006,Japão,Brasil,1,4,
21/06/2006,Holanda,Argentina,0,0,
21/06/2006,Portugal,México,2,1,
20/06/2006,Costa Rica,Polônia,1,2,
20/06/2006,Alemanha,Equador,3,0,
19/06/2006,Espanha,Tunísia,3,1,
18/06/2006,Brasil,Austrália,2,0,
18/06/2006,França,Coreia do Sul,1,1,
18/06/2006,Japão,Croácia,0,0,
17/06/2006,Portugal,Irã,2,0,
16/06/2006,Argentina,Sérvia,6,0,
15/06/2006,Equador,Costa Rica,3,0,
14/06/2006,Alemanha,Polônia,1,0,
14/06/2006,Tunísia,Arábia Saudita,2,2,
13/06/2006,Brasil,Croácia,1,0,
13/06/2006,França,Suíça,0,0,
12/06/2006,Austrália,Japão,3,1,
11/06/2006,México,Irã,3,1,
11/06/2006,Sérvia,Holanda,0,1,
09/06/2006,Alemanha,Costa Rica,4,2,
09/06/2006,Polônia,Equador,0,2,
07/06/2006,Espanha,Croácia,2,1,
04/06/2006,Gana,Coreia do Sul,3,1,
04/06/2006,Holanda,Austrália,1,1,
03/06/2006,Croácia,Polônia,0,1,
02/06/2006,Tunísia,Uruguai,0,0,
01/06/2006,Holanda,México,2,1,
31/05/2006,França,Dinamarca,2,0,
30/05/2006,Alemanha,Japão,2,2,
28/05/2006,Croácia,Irã,2,2,
27/05/2006,França,México,1,0,
27/05/2006,Holanda,Camarões,1,0,
27/05/2006,Sérvia,Uruguai,1,1,
23/05/2006,Coreia do Sul,Senegal,1,1,
23/05/2006,Estados Unidos,Marrocos,0,1,
11/05/2006,Bélgica,Arábia Saudita,2,1,
30/03/2006,Japão,Equador,1,0,
28/03/2006,Arábia Saudita,Polônia,1,2,
22/03/2006,Alemanha,Estados Unidos,4,1,
01/03/2006,Argentina,Croácia,2,3,
01/03/2006,Inglaterra,Uruguai,2,1,
01/03/2006,Irã,Costa Rica,3,2,
01/03/2006,México,Gana,1,0,
01/03/2006,Holanda,Equador,1,0,
01/03/2006,Polônia,Estados Unidos,0,1,
01/03/2006,Arábia Saudita,Portugal,0,3,
01/03/2006,Tunísia,Sérvia,0,1,
15/02/2006,México,Coreia do Sul,0,1,
11/02/2006,Costa Rica,Coreia do Sul,1,0,
10/02/2006,Estados Unidos,Japão,3,2,
29/01/2006,Coreia do Sul,Croácia,2,0,
27/01/2006,Gana,Senegal,1,0,
22/01/2006,Estados Unidos,Canadá,0,0,
15/01/2006,Tunísia,Gana,2,0,
27/12/2005,Equador,Senegal,1,2,
16/11/2005,Austrália,Uruguai,1,0,
16/11/2005,Coreia do Sul,Sérvia,2,0,
16/11/2005,Catar,Argentina,0,3,
15/11/2005,Marrocos,Camarões,0,0,
14/11/2005,Arábia Saudita,Gana,1,3,
13/11/2005,Equador,Polônia,0,3,
12/11/2005,Inglaterra,Argentina,3,2,
12/11/2005,França,Alemanha,0,0,
12/11/2005,Portugal,Croácia,2,0,
12/11/2005,Uruguai,Austrália,1,0,
09/11/2005,França,Costa Rica,3,2,
26/10/2005,México,Uruguai,3,1,
12/10/2005,Inglaterra,Polônia,2,1,
12/10/2005,Coreia do Sul,Irã,2,0,
12/10/2005,Uruguai,Argentina,1,0,
08/10/2005,Bélgica,Espanha,0,2,
08/10/2005,Costa Rica,Estados Unidos,3,0,
08/10/2005,Equador,Uruguai,0,0,
08/10/2005,Suíça,França,1,1,
08/10/2005,Tunísia,Marrocos,2,2,
07/09/2005,Polônia,País de Gales,1,0,
07/09/2005,Espanha,Sérvia,1,1,
03/09/2005,Espanha,Canadá,2,1,
03/09/2005,Estados Unidos,México,2,0,
03/09/2005,País de Gales,Inglaterra,0,1,
17/08/2005,Croácia,Brasil,1,1,
17/08/2005,Dinamarca,Inglaterra,4,1,
17/08/2005,Japão,Irã,2,1,
17/08/2005,Coreia do Sul,Arábia Saudita,0,1,
17/08/2005,México,Costa Rica,2,0,
17/08/2005,Holanda,Alemanha,2,2,
17/08/2005,Senegal,Gana,0,0,
17/08/2005,Espanha,Uruguai,2,0,
15/08/2005,Polônia,Sérvia,3,2,
07/08/2005,Coreia do Sul,Japão,0,1,
12/07/2005,Estados Unidos,Costa Rica,0,0,
09/07/2005,Estados Unidos,Canadá,2,0,
07/07/2005,Canadá,Costa Rica,0,1,
29/06/2005,Brasil,Argentina,4,1,
29/06/2005,Alemanha,México,4,3,
26/06/2005,México,Argentina,1,1,
25/06/2005,Alemanha,Brasil,2,3,
22/06/2005,Japão,Brasil,2,2,
21/06/2005,Austrália,Tunísia,0,2,
21/06/2005,Alemanha,Argentina,2,2,
19/06/2005,México,Brasil,1,0,
18/06/2005,Austrália,Argentina,2,4,
18/06/2005,Alemanha,Tunísia,3,0,
16/06/2005,Japão,México,1,2,
15/06/2005,Argentina,Tunísia,2,1,
15/06/2005,Alemanha,Austrália,4,3,
08/06/2005,Argentina,Brasil,3,1,
04/06/2005,Equador,Argentina,2,0,
04/06/2005,Sérvia,Bélgica,0,0,
04/06/2005,Estados Unidos,Costa Rica,3,0,
28/05/2005,Estados Unidos,Inglaterra,1,2,
27/04/2005,México,Polônia,1,1,
30/03/2005,Sérvia,Espanha,0,0,
30/03/2005,Uruguai,Brasil,1,1,
27/03/2005,México,Estados Unidos,2,1,
26/03/2005,França,Suíça,0,0,
26/03/2005,Portugal,Canadá,4,1,
25/03/2005,Irã,Japão,2,1,
25/03/2005,Arábia Saudita,Coreia do Sul,2,0,
09/03/2005,México,Argentina,1,1,
16/02/2005,Costa Rica,Equador,1,2,
09/02/2005,Camarões,Senegal,1,0,
09/02/2005,Costa Rica,México,1,2,
09/02/2005,Inglaterra,Holanda,0,0,
09/02/2005,Alemanha,Argentina,2,2,
19/12/2004,Coreia do Sul,Alemanha,3,1,
16/12/2004,Japão,Alemanha,0,3,
17/11/2004,Bélgica,Sérvia,0,2,
17/11/2004,Equador,Brasil,1,0,
17/11/2004,França,Polônia,0,0,
17/11/2004,Alemanha,Camarões,3,0,
17/11/2004,Espanha,Inglaterra,1,0,
27/10/2004,México,Equador,2,1,
